@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
2.8412,131.555,0.019715,2.44738,87.66,0.1,9,0.1757,454.1,0.291044,1.018976,-0.995002,0.348948,282,0,-1,-1,-1,21.82,1807,138,9289,1934,3.178,0.04295,1770,0,6853,4.22,-0.2,1.477,12.63,20.47,-16.45,7.445,0,2.75,-0.04884,0.8033,NTP
459.335,260.2,0.027577,1231.4859,89.96,0.7872,1.882,0.1274,734.8,0.541395,-0.08515,0.653605,-0.347054,3,1,2.104,32.14,41.87,7.034,39,2,17.05,5.422,2.66,1.136,218,0,5598,4.51,-0.02,0.884,11.35,8.811,-3.277,0.6844,47.34,12.88,0.2388,0.3719,NTP
30.9609,156.147,0.017584,27.634726,89.57,0.2091,8.524,0.1539,366.2,-0.106208,2.000673,-1.9439,0.703066,36,1,25.25,2589,2893,101.8,468,35,1375,2221,6.827,0.1761,1060,1,5367,3.22,-1.6,3.558,9,27.44,-2.973,0.6859,0.000044,40,0.9202,0.1084,AFP
1.33411,132.366,0.326126,3.361024,74.44,0.9015,2.949,2.286,63220,0.286825,0.907986,-0.738378,0.222856,712,1,2604,20770,19040,3462,9100,699,1679000,28260,38.54,0.0238,1880,1,6319,4.37,-0.32,1.083,245.8,3211,-3.038,0.94,237.1,3415,0.8112,0.000946,AFP
0.522123,131.564,0.009846,2.672133,87.86,0.1,1.5,0.01477,111.4,0.283739,1.089052,-1.141952,0.411871,2562,1,11.78,14810,14450,16.45,32980,2536,47870,8654,2.401,0.01432,4110,0,7454,3.9,-0.5,2.235,7.443,17.24,-1.769,0.7716,0,22.35,0.6832,0.1026,AFP
7.81109,132.296,0.01037,16.590244,88.3,0.493,3.172,0.04287,122.8,0.506813,0.075697,0.425418,-0.259158,171,1,13.79,3936,4899,15.32,2158,165,1324,268.8,1.02,0.07703,871,2,5772,4.53,0,0.901,4.486,14.29,-3.115,0.7448,0.261,19.19,0.9648,0.2179,PC
0.566798,131.722,0.003027,2.746574,79.56,0.4976,1.373,0.005502,10.22,0.240511,0.989596,-0.782968,0.235088,2357,1,13.04,29250,34500,9.466,30190,2321,45100,4156,0.447,0.01296,2730,0,6049,4.13,-0.48,1.353,22.03,9.87,-3.532,0.944,0.000001,10.45,1.321,0.3579,NTP
2.71862,131.762,0.003655,3.029572,80.5,0.4999,5.966,0.02893,14.77,0.459349,0.556172,-0.515911,0.165656,500,1,10.85,22640,26960,14.64,6357,488,9125,1461,0.9393,0.0472,2430,0,7796,3.97,0.07,2.355,4.678,10.81,-7.203,2.336,0.05655,4.627,1.004,0.6664,AFP
228.019,182.699,0.40269,160.849,89.64,1,10.65,5.326,64800,0.531744,-0.189675,0.867126,-0.43491,5,1,189.3,724.7,449.4,151.2,65,4,318100,1531,35.24,0.6624,255,1,5256,4.5,-0.26,0.802,237.4,421,-912.6,6.994,0,60.19,0.4495,2.168,NTP
4.75461,135.516,0.006817,2.327809,82.31,0.3116,14.94,0.1119,53.17,0.24337,1.139328,-1.140265,0.403694,286,1,13.72,32870,39120,30.69,3588,275,5980,2091,1.134,0.05997,1580,0,7092,4.18,-0.44,1.525,4.522,14.62,-9.594,2.844,2.606,5.142,0.938,0.6561,NTP
